PLAYER_NAME,TEAM_NAME
Tarik Black,Los Angeles Lakers
Langston Galloway,New York Knicks
Joe Ingles,Utah Jazz
Jarell Eddie,Washington Wizards
T.J. McConnell,Philadelphia 76ers
Jahlil Okafor,Philadelphia 76ers
Emmanuel Mudiay,Denver Nuggets
Tyus Jones,Minnesota Timberwolves
Cliff Alexander,Portland Trail Blazers
Justin Anderson,Dallas Mavericks
Anthony Brown,Los Angeles Lakers
Montrezl Harrell,Houston Rockets
Aaron Harrison,Charlotte Hornets
Delon Wright,Toronto Raptors
RJ Hunter,Boston Celtics
D'Angelo Russell,Los Angeles Lakers
Karl-Anthony Towns,Minnesota Timberwolves
Richaun Holmes,Philadelphia 76ers
Justise Winslow,Miami Heat
Willie Cauley-Stein,Sacramento Kings
Kelly Oubre Jr.,Washington Wizards
Frank Kaminsky,Charlotte Hornets
Devin Booker,Phoenix Suns
Cameron Payne,Oklahoma City Thunder
Myles Turner,Indiana Pacers
Trey Lyles,Utah Jazz
Stanley Johnson,Detroit Pistons
Jerian Grant,New York Knicks
Bobby Portis,Chicago Bulls
Rashad Vaughn,Milwaukee Bucks
Christian Wood,Philadelphia 76ers
Jordan Mickey,Boston Celtics
Rondae Hollis-Jefferson,Brooklyn Nets
Terry Rozier,Boston Celtics
Norman Powell,Toronto Raptors
Branden Dawson,LA Clippers
Jarell Martin,Memphis Grizzlies
Pat Connaughton,Portland Trail Blazers
Josh Richardson,Miami Heat
Darrun Hilliard,Detroit Pistons
Joe Young,Indiana Pacers
Larry Nance Jr.,Los Angeles Lakers
Mario Hezonja,Orlando Magic
Bryce Dejean-Jones,New Orleans Pelicans
Luis Montero,Portland Trail Blazers
Cristiano Felicio,Chicago Bulls
Boban Marjanovic,San Antonio Spurs
Salah Mejri,Dallas Mavericks
JJ O'Brien,Utah Jazz
Marcelo Huertas,Los Angeles Lakers
